ROP (ft/hr),WOB (lbm),RPM,Flowrate (gpm),Impact Force (lbf),Mud Weight (ppg),Pore Pressure (PSI),Fracture Pressure (PSI)
10.27,22.05,163.00,556.50,565.87,12.94,3616.83,5729.32
19.16,22.05,166.00,566.40,586.18,12.94,3624.90,5742.11
22.41,22.05,166.00,565.20,572.40,12.69,3632.98,5754.89
20.83,22.05,172.00,585.00,625.31,12.94,3641.05,5767.68
43.50,749.57,182.00,620.10,702.60,12.94,3810.59,5845.06
50.00,220.46,183.00,624.30,716.74,13.03,3916.11,5890.35
74.18,2006.20,303.00,626.70,722.27,13.03,3827.45,5870.92
64.60,11728.58,304.00,626.40,716.95,12.94,3348.27,5721.32
33.79,16468.51,184.00,624.60,708.24,12.86,3355.63,5733.89
30.68,18210.16,184.00,627.00,713.69,12.86,3362.99,5779.11
65.22,19709.30,201.00,685.80,853.82,12.86,3370.35,5791.76
57.45,19797.49,203.00,691.20,867.32,12.86,3377.71,5804.41
47.70,20017.95,205.00,697.50,877.47,12.78,3385.06,5817.05
130.09,12786.80,323.00,699.30,882.01,12.78,3392.42,5829.70
54.72,16865.34,253.00,699.60,888.53,12.86,3399.78,5842.34
33.96,13845.01,205.00,699.30,893.54,12.94,3440.22,5854.99
39.53,4431.29,205.00,698.70,897.76,13.03,3613.40,5933.94
33.96,3769.90,205.00,699.00,904.29,13.11,3621.19,5946.72
26.02,3615.58,205.00,699.00,910.05,13.19,3628.98,5959.51
39.17,5269.04,205.00,699.30,910.83,13.19,3536.67,5938.94
37.63,5886.34,205.00,699.60,911.61,13.19,3544.24,5951.65
76.21,5732.01,204.00,696.90,904.59,13.19,3518.31,5964.37
46.85,2138.48,251.00,625.20,683.84,12.94,3559.39,5977.09
59.91,19136.10,201.00,684.60,819.96,12.94,3466.01,5956.16
76.21,24074.45,201.00,684.00,818.52,12.94,3473.37,5968.80
83.76,24096.50,201.00,683.70,791.43,12.53,3480.73,5981.45
93.18,24008.31,201.00,683.70,796.70,12.61,3488.09,5994.09
128.12,12412.01,271.00,684.60,804.09,12.69,3665.13,6074.61
117.26,9435.77,272.00,687.00,815.07,12.78,3774.87,6121.41
132.97,25309.04,201.00,687.00,815.07,12.78,3510.16,6066.11
159.12,29960.79,202.00,687.00,815.07,12.78,3517.52,6078.83
143.86,25110.62,202.00,687.00,820.39,12.86,3524.88,6091.54
145.47,16975.57,245.00,687.00,820.39,12.86,3738.00,6138.55
148.13,6547.72,284.00,677.70,803.52,12.94,3745.79,6185.71
